DEPTH	P_L_95	P_H_95	P_L_99	P_H_99	P_L_95_A	P_H_95_A	P_L_99_A	P_H_99_A	P_L_95_B	P_H_95_B	P_L_99_B	P_H_99_B
1	-1	1	-1	1	0	1	0	1	0	1	0	1
2	-1	1	-1	1	0	1	0	1	0	1	0	1
3	-0.666666666666667	0.666666666666667	-1	1	0	1	0	1	0	1	0	1
4	-0.75	0.75	-1	1	0	1	0	1	0	1	0	1
5	-0.6	0.6	-0.8	0.8	0	1	0	1	0	1	0	1
6	-0.666666666666667	0.5	-0.666666666666667	0.833333333333333	0	0.833333333333333	0	1	0.166666666666667	0.833333333333333	0	1
7	-0.571428571428571	0.571428571428571	-0.714285714285714	0.714285714285714	0.142857142857143	0.857142857142857	0	1	0.142857142857143	0.857142857142857	0	1
8	-0.5	0.5	-0.75	0.625	0.125	0.875	0	0.875	0.125	0.875	0	1
9	-0.555555555555556	0.555555555555556	-0.666666666666667	0.666666666666667	0.111111111111111	0.888888888888889	0.111111111111111	0.888888888888889	0.222222222222222	0.888888888888889	0	1
10	-0.5	0.5	-0.6	0.6	0.2	0.8	0.1	1	0.2	0.8	0.1	0.9
11	-0.454545454545455	0.454545454545455	-0.636363636363636	0.545454545454546	0.181818181818182	0.818181818181818	0.0909090909090909	0.909090909090909	0.181818181818182	0.818181818181818	0.0909090909090909	0.909090909090909
12	-0.5	0.416666666666667	-0.583333333333333	0.583333333333333	0.166666666666667	0.833333333333333	0.0833333333333333	0.916666666666667	0.166666666666667	0.833333333333333	0.0833333333333333	0.916666666666667
13	-0.461538461538462	0.461538461538462	-0.615384615384615	0.538461538461539	0.230769230769231	0.846153846153846	0.153846153846154	0.846153846153846	0.153846153846154	0.846153846153846	0.153846153846154	0.923076923076923
14	-0.428571428571429	0.428571428571429	-0.571428571428571	0.571428571428571	0.214285714285714	0.785714285714286	0.142857142857143	0.857142857142857	0.214285714285714	0.785714285714286	0.142857142857143	0.857142857142857
15	-0.4	0.4	-0.533333333333333	0.533333333333333	0.2	0.8	0.133333333333333	0.866666666666667	0.2	0.8	0.133333333333333	0.866666666666667
16	-0.375	0.4375	-0.5	0.5625	0.1875	0.8125	0.125	0.8125	0.1875	0.75	0.125	0.875
17	-0.411764705882353	0.411764705882353	-0.588235294117647	0.529411764705882	0.176470588235294	0.823529411764706	0.117647058823529	0.882352941176471	0.235294117647059	0.764705882352941	0.117647058823529	0.823529411764706
18	-0.388888888888889	0.444444444444444	-0.555555555555556	0.5	0.222222222222222	0.777777777777778	0.166666666666667	0.888888888888889	0.222222222222222	0.777777777777778	0.111111111111111	0.833333333333333
19	-0.368421052631579	0.368421052631579	-0.526315789473684	0.421052631578947	0.210526315789474	0.736842105263158	0.157894736842105	0.842105263157895	0.210526315789474	0.789473684210526	0.157894736842105	0.894736842105263
20	-0.35	0.4	-0.45	0.55	0.25	0.75	0.15	0.85	0.25	0.75	0.15	0.85
21	-0.380952380952381	0.380952380952381	-0.523809523809524	0.476190476190476	0.238095238095238	0.761904761904762	0.142857142857143	0.80952380952381	0.238095238095238	0.761904761904762	0.142857142857143	0.80952380952381
22	-0.409090909090909	0.363636363636364	-0.454545454545455	0.454545454545455	0.227272727272727	0.772727272727273	0.181818181818182	0.818181818181818	0.272727272727273	0.772727272727273	0.136363636363636	0.818181818181818
23	-0.391304347826087	0.391304347826087	-0.521739130434783	0.478260869565217	0.217391304347826	0.782608695652174	0.173913043478261	0.869565217391304	0.260869565217391	0.739130434782609	0.173913043478261	0.826086956521739
24	-0.416666666666667	0.375	-0.5	0.458333333333333	0.208333333333333	0.75	0.125	0.833333333333333	0.25	0.75	0.166666666666667	0.791666666666667
25	-0.4	0.36	-0.52	0.48	0.24	0.76	0.16	0.84	0.28	0.76	0.16	0.84
26	-0.384615384615385	0.384615384615385	-0.423076923076923	0.461538461538462	0.230769230769231	0.730769230769231	0.153846153846154	0.807692307692308	0.230769230769231	0.769230769230769	0.153846153846154	0.807692307692308
27	-0.37037037037037	0.37037037037037	-0.444444444444444	0.481481481481481	0.259259259259259	0.740740740740741	0.185185185185185	0.814814814814815	0.222222222222222	0.740740740740741	0.148148148148148	0.814814814814815
28	-0.357142857142857	0.321428571428571	-0.5	0.464285714285714	0.25	0.75	0.178571428571429	0.785714285714286	0.25	0.75	0.142857142857143	0.785714285714286
29	-0.344827586206897	0.344827586206897	-0.517241379310345	0.448275862068966	0.241379310344828	0.758620689655172	0.172413793103448	0.827586206896552	0.241379310344828	0.758620689655172	0.172413793103448	0.827586206896552
30	-0.366666666666667	0.366666666666667	-0.433333333333333	0.466666666666667	0.233333333333333	0.733333333333333	0.166666666666667	0.833333333333333	0.266666666666667	0.733333333333333	0.2	0.8
31	-0.387096774193548	0.32258064516129	-0.516129032258065	0.419354838709677	0.225806451612903	0.741935483870968	0.161290322580645	0.806451612903226	0.258064516129032	0.741935483870968	0.193548387096774	0.806451612903226
32	-0.34375	0.375	-0.46875	0.46875	0.25	0.75	0.1875	0.8125	0.25	0.75	0.21875	0.8125
33	-0.333333333333333	0.363636363636364	-0.454545454545455	0.454545454545455	0.272727272727273	0.757575757575758	0.181818181818182	0.818181818181818	0.272727272727273	0.727272727272727	0.181818181818182	0.787878787878788
34	-0.352941176470588	0.323529411764706	-0.441176470588235	0.470588235294118	0.264705882352941	0.735294117647059	0.176470588235294	0.794117647058823	0.264705882352941	0.735294117647059	0.205882352941176	0.823529411764706
35	-0.314285714285714	0.314285714285714	-0.457142857142857	0.428571428571429	0.257142857142857	0.742857142857143	0.2	0.8	0.257142857142857	0.714285714285714	0.2	0.8
36	-0.305555555555556	0.333333333333333	-0.444444444444444	0.416666666666667	0.277777777777778	0.75	0.194444444444444	0.777777777777778	0.25	0.75	0.194444444444444	0.805555555555556
37	-0.324324324324324	0.351351351351351	-0.405405405405405	0.459459459459459	0.297297297297297	0.72972972972973	0.243243243243243	0.783783783783784	0.243243243243243	0.72972972972973	0.162162162162162	0.783783783783784
