DEPTH	P_L_95	P_H_95	P_L_99	P_H_99	P_L_95_A	P_H_95_A	P_L_99_A	P_H_99_A	P_L_95_B	P_H_95_B	P_L_99_B	P_H_99_B
1	-1	1	-1	1	0	1	0	1	0	1	0	1
2	-1	1	-1	1	0	1	0	1	0	1	0	1
3	-0.666666666666667	0.666666666666667	-1	1	0	1	0	1	0	1	0	1
4	-0.75	0.75	-1	1	0	1	0	1	0	1	0	1
5	-0.6	0.6	-0.8	0.8	0	1	0	1	0	1	0	1
6	-0.666666666666667	0.666666666666667	-0.833333333333333	0.666666666666667	0.166666666666667	0.833333333333333	0	1	0.166666666666667	1	0	1
7	-0.571428571428571	0.571428571428571	-0.714285714285714	0.714285714285714	0.142857142857143	0.857142857142857	0	1	0.142857142857143	0.857142857142857	0	1
8	-0.5	0.5	-0.75	0.75	0.125	0.875	0	1	0.125	0.875	0.125	0.875
9	-0.555555555555556	0.555555555555556	-0.666666666666667	0.666666666666667	0.111111111111111	0.888888888888889	0	0.888888888888889	0.111111111111111	0.888888888888889	0.111111111111111	1
10	-0.5	0.5	-0.6	0.6	0.2	0.8	0.1	0.9	0.2	0.8	0.1	0.9
11	-0.454545454545455	0.454545454545455	-0.636363636363636	0.545454545454546	0.181818181818182	0.818181818181818	0.0909090909090909	0.909090909090909	0.181818181818182	0.818181818181818	0.0909090909090909	0.909090909090909
12	-0.416666666666667	0.5	-0.583333333333333	0.583333333333333	0.166666666666667	0.833333333333333	0	0.916666666666667	0.166666666666667	0.75	0.0833333333333333	0.833333333333333
13	-0.461538461538462	0.461538461538462	-0.615384615384615	0.615384615384615	0.230769230769231	0.769230769230769	0.0769230769230769	0.923076923076923	0.230769230769231	0.769230769230769	0.153846153846154	0.846153846153846
14	-0.428571428571429	0.428571428571429	-0.571428571428571	0.5	0.214285714285714	0.785714285714286	0.0714285714285714	0.857142857142857	0.214285714285714	0.785714285714286	0.142857142857143	0.857142857142857
15	-0.4	0.4	-0.533333333333333	0.533333333333333	0.2	0.8	0.133333333333333	0.866666666666667	0.2	0.8	0.133333333333333	0.866666666666667
16	-0.4375	0.375	-0.5	0.5	0.1875	0.8125	0.125	0.875	0.25	0.8125	0.125	0.875
17	-0.411764705882353	0.411764705882353	-0.470588235294118	0.529411764705882	0.235294117647059	0.764705882352941	0.117647058823529	0.823529411764706	0.235294117647059	0.764705882352941	0.117647058823529	0.823529411764706
18	-0.388888888888889	0.388888888888889	-0.444444444444445	0.5	0.222222222222222	0.777777777777778	0.166666666666667	0.833333333333333	0.222222222222222	0.777777777777778	0.166666666666667	0.888888888888889
19	-0.368421052631579	0.421052631578947	-0.473684210526316	0.526315789473684	0.263157894736842	0.789473684210526	0.157894736842105	0.842105263157895	0.210526315789474	0.789473684210526	0.105263157894737	0.842105263157895
20	-0.35	0.4	-0.5	0.5	0.25	0.75	0.15	0.8	0.25	0.75	0.15	0.85
21	-0.333333333333333	0.333333333333333	-0.428571428571429	0.428571428571429	0.238095238095238	0.761904761904762	0.19047619047619	0.80952380952381	0.238095238095238	0.761904761904762	0.19047619047619	0.80952380952381
22	-0.363636363636364	0.363636363636364	-0.454545454545455	0.454545454545455	0.272727272727273	0.727272727272727	0.181818181818182	0.818181818181818	0.227272727272727	0.772727272727273	0.181818181818182	0.818181818181818
23	-0.347826086956522	0.347826086956522	-0.478260869565217	0.478260869565217	0.260869565217391	0.739130434782609	0.173913043478261	0.782608695652174	0.260869565217391	0.782608695652174	0.173913043478261	0.826086956521739
24	-0.333333333333333	0.375	-0.458333333333333	0.541666666666667	0.25	0.75	0.208333333333333	0.875	0.25	0.708333333333333	0.166666666666667	0.791666666666667
25	-0.36	0.32	-0.44	0.44	0.24	0.72	0.12	0.8	0.24	0.76	0.2	0.8
26	-0.346153846153846	0.346153846153846	-0.461538461538462	0.423076923076923	0.269230769230769	0.730769230769231	0.230769230769231	0.769230769230769	0.230769230769231	0.730769230769231	0.192307692307692	0.807692307692308
27	-0.37037037037037	0.333333333333333	-0.444444444444444	0.444444444444444	0.259259259259259	0.740740740740741	0.185185185185185	0.814814814814815	0.259259259259259	0.740740740740741	0.185185185185185	0.814814814814815
28	-0.321428571428571	0.321428571428571	-0.464285714285714	0.428571428571429	0.25	0.714285714285714	0.178571428571429	0.785714285714286	0.285714285714286	0.714285714285714	0.214285714285714	0.785714285714286
29	-0.344827586206896	0.310344827586207	-0.482758620689655	0.379310344827586	0.275862068965517	0.724137931034483	0.206896551724138	0.758620689655172	0.275862068965517	0.724137931034483	0.206896551724138	0.793103448275862
30	-0.3	0.333333333333333	-0.4	0.5	0.266666666666667	0.733333333333333	0.233333333333333	0.833333333333333	0.266666666666667	0.733333333333333	0.2	0.766666666666667
31	-0.32258064516129	0.290322580645161	-0.451612903225806	0.451612903225806	0.258064516129032	0.741935483870968	0.193548387096774	0.774193548387097	0.290322580645161	0.709677419354839	0.193548387096774	0.774193548387097
32	-0.3125	0.3125	-0.40625	0.375	0.28125	0.71875	0.1875	0.78125	0.28125	0.75	0.21875	0.8125
33	-0.303030303030303	0.303030303030303	-0.363636363636364	0.484848484848485	0.272727272727273	0.727272727272727	0.242424242424242	0.787878787878788	0.272727272727273	0.727272727272727	0.212121212121212	0.787878787878788
34	-0.294117647058824	0.323529411764706	-0.411764705882353	0.441176470588235	0.294117647058824	0.735294117647059	0.235294117647059	0.794117647058823	0.264705882352941	0.705882352941177	0.205882352941176	0.764705882352941
35	-0.285714285714286	0.314285714285714	-0.371428571428571	0.4	0.314285714285714	0.714285714285714	0.228571428571429	0.771428571428571	0.257142857142857	0.714285714285714	0.2	0.771428571428571
36	-0.277777777777778	0.333333333333333	-0.388888888888889	0.416666666666667	0.305555555555556	0.722222222222222	0.222222222222222	0.777777777777778	0.277777777777778	0.722222222222222	0.222222222222222	0.777777777777778
